0,3,0
6,14,0
12,27,0
18,27,0
16,41,0
27,43,0
29,54,0
28,49,0
39,55,0
36,70,0
58,84,0
44,88,0
50,82,0
68,95,0
87,86,0
100,125,0
98,111,0
102,113,0
109,119,0
128,120,0
108,131,0
93,121,0
108,153,0
132,149,0
145,152,0
124,153,0
138,160,0
134,142,0
137,139,0
138,144,0
136,173,0
155,133,0
153,161,0
138,145,0
130,152,0
143,157,0
157,148,0
166,123,0
147,109,0
134,117,0
172,125,0
139,121,0
138,100,0
137,103,0
118,110,0
124,118,0
115,122,0
152,114,0
154,117,0
167,103,0
131,92,0
154,103,0
150,118,0
175,88,0
177,107,0
168,77,0
172,86,0
169,98,0
175,110,0
170,98,0
194,79,0
164,84,0
162,89,0
162,78,0
181,75,0
161,98,0
206,106,0
154,86,0
175,100,0
183,101,0
220,87,0
191,92,0
208,106,0
209,91,0
198,96,0
215,86,0
198,88,0
190,87,0
200,102,0
209,93,0
192,92,0
236,105,0
238,97,0
240,90,0
238,94,0
242,94,0
278,85,0
280,93,0
311,106,0
282,94,0
357,90,0
363,99,0
411,95,0
409,89,0
431,113,0
415,94,0
407,107,0
433,100,0
459,92,0
445,91,0
475,106,0
430,100,0
528,113,0
480,103,0
524,102,0
495,97,0
483,134,0
468,113,0
495,124,0
491,132,0
504,144,0
501,127,0
500,131,0
553,125,0
560,142,0
574,141,0
538,141,0
551,134,0
588,106,0
554,134,0
593,131,0
589,129,0
587,130,0
539,144,0
542,158,0
526,141,0
542,131,0
480,138,0
500,138,0
529,182,0
523,146,0
548,152,0
547,151,0
564,163,0
569,179,0
550,143,0
590,156,0
600,157,0
620,176,0
550,148,0
606,194,0
606,192,0
617,160,0
592,148,0
625,181,0
586,191,0
621,176,0
623,190,0
668,199,0
597,199,0
683,198,0
662,200,0
673,197,0
636,220,0
708,222,0
706,218,0
676,219,0
647,222,0
710,215,0
711,238,0
687,251,0
666,213,0
698,218,0
763,268,0
698,260,0
772,244,0
733,249,0
756,271,0
743,276,0
762,265,0
759,263,0
751,273,0
769,276,0
775,294,0
783,238,0
797,261,0
761,288,0
806,300,0
821,255,0
791,250,0
823,292,0
892,281,0
782,312,0
907,304,0
852,290,0
805,280,0
848,308,0
839,322,0
880,364,0
904,337,0
875,344,0
902,351,0
943,331,0
916,371,0
904,346,0
949,390,0
953,373,0
924,396,0
939,422,0
918,427,0
957,407,0
965,424,0
999,499,0
1042,454,0
997,489,0
940,508,0
999,530,0
991,536,0
1045,562,0
1002,595,0
979,572,0
991,566,0
967,615,0
963,661,0
952,614,0
949,681,0
950,728,0
1035,733,0
974,837,0
998,817,0
964,826,0
979,826,0
1043,845,0
