NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
6,76326,38607,4352,240298,5978,2174,2304,10040,20496
6,76095,38514,4392,240298,7956,2072,2223,9392,21643
6,76040,38394,4330,240298,3948,1914,2303,9034,17199
6,76088,38519,4253,240298,4237,2098,2219,9226,17780
6,76278,38573,4475,294912,4797,2117,2217,10877,20008
6,76204,38485,4502,327680,8842,1813,3686,14660,29001
6,76601,38565,4396,294912,11913,2063,2535,12672,29183
6,77056,38574,4377,273066,8732,1987,2186,10162,23067
6,77854,38597,4381,294912,5259,2025,2307,11080,20671
6,78262,38735,4340,294912,5684,2036,2209,10620,20549
6,78711,38713,4323,294912,8034,2050,2229,10661,22974
6,78466,38859,4267,294912,5290,1951,2243,10768,20252
6,78488,38727,4349,294912,7781,2226,2208,10589,22804
6,78576,38753,4243,425984,5274,1991,2214,14560,24039
6,78615,38772,4279,294912,6398,1974,2181,10409,20962
6,78879,38951,4213,294912,8550,2076,2216,10903,23745
6,79078,39013,4255,294912,4435,2056,2189,10288,18968
6,78981,38935,4325,294912,6707,1983,2184,10510,21384
6,78760,38996,4206,294912,4569,2037,2177,11258,20041
6,78432,38989,4282,294912,4613,1950,2312,9974,18849
6,78117,39075,4338,273066,7802,2174,2225,11699,23900
6,77866,39113,4132,273066,5178,1793,2198,14069,23238
6,77844,39190,4308,283989,5112,1863,2239,10345,19559
6,77829,39105,4257,283989,8968,2079,2206,11110,24363
6,77929,39086,4341,283989,4979,2070,3069,11546,21664
6,77798,39161,4211,283989,4403,1982,2294,9760,18439
6,77583,39291,4149,415061,7907,2128,2203,14648,26886
6,76360,39079,4275,240298,7279,1968,2243,9651,21141
6,75702,39100,4320,240298,6386,2067,2229,10027,20709
6,75241,39181,4206,240298,3914,2083,2178,10057,18232
6,74857,39172,4277,218453,5287,1952,2177,9449,18865
6,74359,39147,4156,305834,6999,2007,2394,15664,27064
6,74187,39302,4292,349525,6206,2056,2135,14297,24694
6,73424,39238,4233,436906,16349,2089,2293,15984,36715
6,73301,39248,4409,349525,11643,1977,2191,11890,27701
6,72878,39282,4304,349525,6135,1969,2134,13587,23825
6,72282,39263,4202,349525,6297,1935,2135,11450,21817
6,71723,39232,4306,349525,7238,2029,2161,11402,22830
6,70868,39173,4289,349525,5108,2223,2216,11364,20911
6,70367,39247,4310,371370,6328,2052,2481,15106,25967
6,69661,39144,4419,371370,10748,2010,2162,12700,27620
6,68422,39169,4411,371370,5773,2057,2180,12862,22872
6,67623,39010,4484,371370,6780,1964,2155,11615,22514
6,67250,39218,4376,371370,8882,2068,2148,12232,25330
6,66555,39092,4255,371370,11907,2059,2191,12009,28166
6,65859,39012,4401,360448,10254,2078,2233,18917,33482
6,64249,38957,4491,360448,7971,2086,2171,12338,24566
6,63234,38872,4468,360448,5189,1774,2150,11471,20584
6,62154,38804,4302,360448,7064,1910,2236,11796,23006
6,61208,38734,4299,273066,5846,1807,2258,11739,21650
6,62434,38689,4262,338602,7144,1842,2247,12812,24045
6,66272,38672,4130,273066,6011,1765,2201,11123,21100
6,67759,38414,4341,273066,5569,2115,2265,9813,19762
6,69330,38424,4210,273066,6197,1784,2179,10779,20939
6,70910,38327,4219,262144,5121,1783,2198,10387,19489
6,72554,38408,4090,283989,7465,1761,2180,10170,21576
6,73778,38447,4071,251221,5154,1837,2221,9307,18519
6,75383,38612,3968,240298,4919,1754,3642,9981,20296
6,78116,38709,3984,243029,4468,1746,2864,9810,18888
4,80346,54411,5398,327680,5541,1913,2292,10155,19901
4,82808,54862,5407,327680,6718,1867,2184,8894,19663
4,84952,55313,5322,327680,3433,1718,2296,7971,15418
4,86310,55667,5429,327680,6434,1813,2231,9241,19719
4,85724,55310,5396,393216,5165,1811,2328,10427,19731
4,83204,55168,5504,393216,4734,2394,2317,9358,18803
4,81004,55088,5701,327680,4758,2837,2224,8231,18050
4,78812,55151,5693,327680,4184,1772,2250,8450,16656
4,82334,54952,6011,458752,3615,1776,2279,10009,17679
4,87798,55380,4438,327680,5917,1759,2191,7684,17551
4,93875,55879,4380,327680,4315,1795,2227,8391,16728
4,99102,56216,4591,327680,4670,1837,2210,7713,16430
4,104596,56742,4361,294912,4391,1806,2825,7369,16391
4,109522,57106,4335,294912,4161,1748,2316,9148,17373
4,113931,57247,4118,294912,5368,1781,2185,11666,21000
4,122518,57421,5303,311296,4036,1763,2185,8057,16041
4,126860,57500,5358,311296,3742,1759,2155,9364,17020
4,130493,57589,5217,311296,4084,1801,2203,8494,16582
4,133511,57446,5210,311296,5040,1801,2184,8290,17315
4,136006,57168,5334,311296,4290,1833,2229,8486,16838
4,137821,56615,5324,311296,3592,1952,2263,7986,15793
4,138623,56077,5223,311296,7052,1819,2156,7602,18629
4,139535,55610,4748,311296,3383,1750,2176,7999,15308
5,140251,44325,4152,347340,3518,2042,2230,9674,17464
4,140775,53571,5233,425984,6922,1868,2174,9745,20709
4,140609,52144,5067,475136,4582,1814,2353,9965,18714
5,140201,42385,5342,419430,7629,1779,2182,11760,23350
4,141619,48969,5221,327680,9521,1998,2217,8172,21908
5,142594,41918,7583,393216,3539,1853,2435,11303,19130
5,142812,41438,7733,393216,6441,1898,2255,10595,21189
5,144170,41535,7622,393216,8831,1879,2215,11083,24008
5,145508,41288,7796,367001,8366,1807,2236,11159,23568
2,144636,76956,4606,327680,6063,1773,2164,4965,14965
6,143892,33136,7073,247125,4184,1808,2237,9259,17488
5,142919,39532,8628,301465,7258,1816,2200,10043,21317
7,141751,27868,10471,365129,5429,1878,2239,16591,26137
3,141154,60789,12902,436906,7391,1834,2163,9253,20641
4,140962,46381,10981,344064,5424,1820,2131,8982,18357
4,141472,46860,5685,278528,4613,1944,2194,7382,16133
5,143055,39123,4979,229376,3257,2218,2244,7425,15144
4,146814,47970,6737,278528,3308,1836,2293,9066,16503
3,152290,64272,7919,305834,3233,1832,2174,6101,13340
1,156682,156682,9138,524288,3048,1810,3226,3718,11802
5,160037,40799,5331,203161,2642,3211,2209,9798,17860
1,164502,164502,8226,524288,3568,2117,2341,3559,11585
1,169037,169037,9371,524288,1893,1708,2109,3450,9160
4,173286,52510,10038,274432,2762,1949,2220,8183,15114
2,176494,103599,18718,524288,6254,2064,2146,7074,17538
2,178337,104544,17776,524288,4724,2044,2147,7152,16067
2,181723,105397,17775,524288,3984,2149,2144,6650,14927
2,186279,106448,16427,524288,4015,1963,2148,6775,14901
2,192069,108574,15807,524288,3570,1977,2164,6881,14592
2,198194,110432,14236,524288,6434,2059,2190,6190,16873
2,202855,111320,12849,524288,6040,2044,2190,5922,16196
2,205603,111539,12659,786432,3514,2128,2201,8232,16075
2,207683,111687,11922,524288,3963,1970,2219,6684,14836
3,209040,73937,6981,264874,3208,1990,2497,5632,13327
3,210207,73818,6104,264874,5012,2052,2211,5121,14396
3,211157,73225,5764,221184,4216,2023,2233,5011,13483
1,212320,212320,7506,524288,2648,1826,2256,4638,11368
1,213942,213942,7406,524288,3214,2023,2307,3844,11388
2,214896,108074,4903,294912,1603,1999,2216,4636,10454
3,216960,78156,3620,267605,2693,2123,2326,5501,12643
1,217347,217347,7155,524288,3377,2080,2230,4443,12130
1,218052,218052,6759,524288,2124,1764,2207,3711,9806
2,217858,108936,3572,524288,2565,2035,2360,6230,13190
1,218310,218310,6047,524288,3861,1919,2237,3521,11538
1,218461,218461,6465,524288,2062,1963,2231,3760,10016
1,219008,219008,6300,524288,2010,1786,2196,3756,9748
1,218821,218821,6502,524288,1800,1741,2296,3510,9347
1,219546,219546,6361,524288,1844,1728,2193,3593,9358
1,220480,220480,5621,524288,1902,1794,2161,3464,9321
1,222836,222836,5557,524288,2364,2029,2208,3578,10179
1,223934,223934,11062,1048576,3361,1809,2188,5969,13327
1,224672,224672,10357,1048576,3425,1965,2436,6185,14011
1,224213,224213,11704,1048576,3778,1938,2213,6515,14444
2,223314,120092,6542,557056,6147,2120,2223,8748,19238
1,223012,223012,10453,1048576,4039,2008,2197,6181,14425
1,222635,222635,11247,1048576,3405,2082,2241,6437,14165
1,222420,222420,10660,1048576,3612,2080,2154,5794,13640
3,222386,80481,5160,524970,2968,1984,2389,9357,16698
1,222158,222158,10403,1048576,7247,2084,2200,6022,17553
1,219975,219975,10891,1048576,3031,1978,2181,6209,13399
1,218213,218213,11597,1048576,3603,1978,2218,6589,14388
1,216853,216853,10599,1048576,3095,1968,2190,5656,12909
1,214940,214940,10195,1048576,5668,3004,2285,6681,17638
1,213037,213037,10471,1048576,3737,2134,2176,5625,13672
1,211381,211381,10628,1048576,4745,1987,2210,7024,15966
1,211089,211089,9480,1048576,3657,1960,2612,6561,14790
3,210412,76972,4796,529749,3407,1985,2224,8540,16156
1,210446,210446,9950,1048576,3697,2170,2141,5498,13506
1,210840,210840,9712,1048576,2871,1986,2389,5793,13039
3,212781,78130,4767,360448,2714,1909,2319,7100,14042
3,214652,78705,4842,567978,3296,1991,2141,8850,16278
1,217996,217996,9312,1048576,4175,1766,2104,5864,13909
2,220334,119789,7194,786432,5637,2513,2215,7658,18023
2,224921,120403,7596,786432,4080,2029,2120,7918,16147
2,229310,120861,7737,655360,3714,1955,2091,6623,14383
2,234055,121365,7065,327680,4226,2053,2178,5074,13531
1,237226,237226,10933,524288,2637,1764,2103,4055,10559
1,238431,238431,10979,524288,2742,2029,2143,3886,10800
1,238919,238919,10646,524288,2023,1801,2100,3924,9848
1,238348,238348,10779,524288,2039,1755,2092,6925,12811
1,238921,238921,10427,524288,2462,2079,2620,4459,11620
1,238928,238928,10252,524288,2400,2001,2142,4215,10758
1,238788,238788,10891,524288,2228,1916,2187,4419,10750
1,238797,238797,10175,524288,1828,1799,2100,3817,9544
2,238461,120159,5760,270336,2013,1757,2145,4586,10501
1,238949,238949,10558,524288,2054,2083,2134,3883,10154
1,239118,239118,10420,524288,2630,1785,2146,4221,10782
1,238920,238920,11085,524288,2261,1774,2189,3956,10180
1,239345,239345,10383,524288,2450,1991,2099,3971,10511
1,239435,239435,9899,524288,1809,1726,2125,3903,9563
1,238926,238926,10499,524288,2032,1739,2104,4077,9952
1,239402,239402,9958,524288,2036,1785,2189,3798,9808
1,239469,239469,9675,524288,1744,1798,2147,3751,9440
1,239749,239749,9708,524288,2014,1974,2135,3812,9935
1,239807,239807,9740,524288,3234,2049,2125,5211,12619
1,240238,240238,10102,524288,3086,2042,2140,10970,18238
1,240888,240888,9259,524288,1920,1867,2490,4039,10316
1,240641,240641,9238,524288,2470,2061,2154,4016,10701
1,241053,241053,9785,524288,2813,1808,2136,3880,10637
1,242071,242071,8685,524288,1762,1738,2130,4016,9646
1,242319,242319,8477,524288,1973,1785,2187,4256,10201
1,242188,242188,9066,1048576,1974,1868,2118,5582,11542
1,242817,242817,8907,524288,5660,1961,2173,4019,13813
1,242915,242915,9337,1048576,3130,1907,2146,5966,13149
1,242700,242700,8982,524288,5583,2157,2198,4177,14115
1,242507,242507,9181,524288,3418,2056,2169,3967,11610
1,242819,242819,9591,524288,3643,2013,2178,4032,11866
1,242961,242961,9545,524288,3231,2020,2239,3900,11390
1,243241,243241,9182,524288,3323,1920,2137,6154,13534
1,243092,243092,9093,1048576,3404,2061,2156,5372,12993
1,243170,243170,9181,1048576,4428,2306,2223,6106,15063
1,242802,242802,8651,524288,2672,2042,2201,4229,11144
1,242992,242992,8652,524288,2566,2103,2517,4125,11311
1,242869,242869,8853,524288,2641,1816,2147,3907,10511
1,242983,242983,8484,524288,1956,1755,2152,4000,9863
1,242562,242562,8429,524288,2326,2059,2207,3849,10441
1,241862,241862,8675,524288,2376,1946,2146,4080,10548
1,241287,241287,8523,524288,2472,1827,2202,4200,10701
2,240552,120802,5422,278528,2030,1877,2160,4428,10495
1,240308,240308,8067,524288,4282,2093,2227,3981,12583
2,239921,120691,5533,278528,3458,2019,2188,4439,12104
1,240426,240426,8484,524288,2906,2011,2151,4273,11341
1,240619,240619,8414,524288,2339,2005,2146,4070,10560
1,240793,240793,8776,524288,1982,1716,2138,3700,9536
1,241432,241432,8548,524288,2250,2089,2235,4606,11180
1,242531,242531,8602,524288,2834,1996,2281,4067,11178
1,242778,242778,8817,524288,3369,1970,2120,3846,11305
1,242767,242767,8750,524288,1768,1762,2211,5472,11213
1,242891,242891,8743,524288,2399,2025,2140,4112,10676
1,243466,243466,8514,524288,1793,1770,2156,3783,9502
1,243793,243793,8535,524288,1992,1751,2127,4017,9887
1,244120,244120,7926,524288,2380,2319,2176,4251,11126
1,243728,243728,8330,524288,1932,1768,2118,3823,9641
1,243574,243574,8598,524288,2349,1972,2142,3749,10212
1,243747,243747,8955,524288,2156,1804,2115,3979,10054
1,243559,243559,8402,524288,2263,1735,2401,3671,10070
1,243736,243736,8402,524288,1777,1811,2101,3778,9467
1,244072,244072,8437,524288,2606,2034,2159,4542,11341
1,243753,243753,8701,524288,3227,1918,2169,3995,11309
1,243985,243985,8643,524288,3203,1993,2178,3799,11173
1,243969,243969,8596,524288,1743,1789,2191,3882,9605
1,243500,243500,9095,524288,4460,1774,2193,3886,12313
1,243849,243849,9244,524288,3339,1905,2156,3517,10917
1,244307,244307,8387,524288,2015,1742,2238,3804,9799
2,244247,122191,4377,266240,1886,1712,2197,4121,9916
1,244353,244353,8015,524288,3418,1966,2184,3655,11223
1,244435,244435,8237,524288,3157,2061,2192,3617,11027
1,244025,244025,8409,524288,3313,1923,2140,3624,11000
1,244665,244665,7686,524288,2072,1821,2145,3821,9859
1,244383,244383,7675,524288,2196,1824,2195,3605,9820
2,244426,124291,5449,294912,2343,1953,2221,4847,11364
1,244646,244646,7822,524288,2157,1963,2170,3617,9907
1,244523,244523,8085,524288,1985,1790,2209,3642,9626
1,244557,244557,8039,524288,3335,1970,2250,3873,11428
2,244442,122787,5155,278528,3298,2101,2255,4654,12308
1,244033,244033,7519,524288,3890,1940,2222,3928,11980
1,244235,244235,7433,524288,2848,2026,2184,4164,11222
1,244451,244451,7145,524288,3197,1989,2223,3671,11080
1,244264,244264,7598,524288,3482,1929,2174,3917,11502
1,243986,243986,7628,524288,1827,1713,2154,4144,9838
1,243313,243313,7752,524288,2917,1952,2183,3877,10929
1,236352,236352,8069,524288,3233,2006,2233,3717,11189
1,225546,225546,8055,524288,3104,1921,2260,3782,11067
1,216725,216725,7610,524288,2825,1958,2281,3637,10701
1,209660,209660,7451,524288,2717,1820,2305,3575,10417
1,201570,201570,7225,524288,2332,1948,2308,3735,10323
2,193816,118784,5273,327680,2481,2108,2255,4966,11810
2,187316,119307,5448,327680,4525,2104,2322,4589,13540
2,179886,116874,5306,393216,3186,1959,2276,5073,12494
2,172012,90282,4561,278528,3255,2140,2560,4579,12534
2,163821,90997,4609,294912,3076,2016,2562,4204,11858
2,148268,92257,4463,327680,2090,2073,2466,9320,15949
2,140548,92767,4427,393216,2067,1711,2804,6316,12898
2,132814,93302,4587,262144,3198,1958,2552,4024,11732
2,125880,93903,4616,262144,2123,1716,2323,4403,10565
2,119320,94276,4316,262144,3516,1987,2326,4042,11871
2,112437,93561,4523,262144,3234,2083,2403,4445,12165
2,106746,91323,4824,262144,4000,1996,2307,4027,12330
2,98990,87291,4677,262144,2766,1826,2328,4012,10932
4,91308,57879,4105,180224,3001,2133,2729,7096,14959
4,78222,58151,4306,425984,3371,2026,2399,10281,18077
2,78305,75437,4721,262144,4495,1944,2297,4047,12783
4,78018,57868,4639,196608,2354,1975,2269,6308,12906
