NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
1,73348,73348,4064,262144,2214,2040,2210,2265,8729
1,71917,71917,3826,262144,1415,1691,2192,2314,7612
1,70433,70433,3632,262144,1485,1701,2166,2194,7546
1,69213,69213,3806,262144,1411,1667,2160,2409,7647
1,68288,68288,3583,262144,2139,1731,2185,2998,9053
1,67040,67040,3435,262144,1454,1707,2149,2083,7393
1,65656,65656,3477,262144,1461,1674,2205,2397,7737
1,64202,64202,3348,262144,1503,1746,2224,2571,8044
1,63081,63081,3409,262144,1336,1683,2251,2156,7426
1,62070,62070,7740,524288,1885,1669,2202,3640,9396
1,61189,61189,7612,524288,1721,1681,2218,3800,9420
1,24924,24924,5578,1048576,1735,1700,2205,5022,10662
1,59535,59535,7675,524288,2810,1950,2265,3839,10864
1,59206,59206,7624,524288,1785,1694,2203,3726,9408
1,59295,59295,7577,524288,1733,1691,2146,3713,9283
1,58870,58870,7658,524288,2302,1811,2208,3791,10112
1,58686,58686,7420,1048576,2184,2589,2263,5248,12284
1,58342,58342,7697,524288,2897,6689,2280,4535,16401
1,57400,57400,7181,1048576,1677,1699,2839,6082,12297
1,31755,31755,5017,524288,5521,1931,2180,3403,13035
1,30861,30861,6337,1048576,1716,1706,2184,5540,11146
1,33616,33616,5553,524288,2630,1957,2173,3469,10229
1,32525,32525,6457,1048576,1721,1724,2178,5143,10766
1,35376,35376,5799,524288,3228,1927,2183,3744,11082
1,34371,34371,2938,262144,1714,1670,2194,2514,8092
1,35527,35527,2902,262144,1410,1713,2185,2147,7455
1,36716,36716,3025,262144,1418,1677,2184,2310,7589
1,37953,37953,3013,262144,1441,1715,2199,2329,7684
1,39478,39478,2983,262144,1443,1734,2243,2282,7702
1,36117,36117,6720,524288,1468,1704,2266,3404,8842
1,43038,43038,6870,1048576,2961,1962,2208,5845,12976
1,45373,45373,6922,524288,5046,2123,2230,3885,13284
1,47532,47532,7234,524288,2671,1834,2240,4076,10821
1,39685,39685,7031,524288,2415,2162,2387,4630,11594
1,49793,49793,8862,524288,1738,1692,2220,3940,9590
1,41768,41768,6970,524288,1747,1690,2255,3325,9017
1,52751,52751,8610,524288,1727,1679,2230,3660,9296
1,53384,53384,8719,524288,1776,1682,2213,3444,9115
1,57257,57257,7860,524288,1748,1682,2222,4031,9683
1,59063,59063,7936,524288,1717,1721,2238,3809,9485
1,61089,61089,7946,524288,1736,1686,2218,3907,9547
1,63447,63447,3568,262144,1729,1674,2248,2353,8004
1,66027,66027,3533,262144,1400,1658,2233,2574,7865
1,68562,68562,3641,262144,1413,1711,2244,2391,7759
1,70784,70784,3425,262144,1607,1698,2261,2493,8059
1,72901,72901,3498,262144,2582,1981,2261,2931,9755
1,74523,74523,3647,262144,2338,1939,2241,3467,9985
1,76072,76072,3721,262144,1461,1707,2224,2490,7882
1,77679,77679,3643,262144,1394,1755,2299,2993,8441
1,79006,79006,3539,262144,1711,1800,2269,2696,8476
1,80200,80200,3564,262144,1402,1678,2267,2518,7865
1,81083,81083,3648,262144,1429,1657,2238,2606,7930
1,81468,81468,3573,262144,2037,1719,2264,3208,9228
1,81681,81681,3649,262144,2375,1887,2270,2785,9317
1,81711,81711,3618,262144,1463,1724,2241,2925,8353
1,81573,81573,3452,262144,1494,1709,2220,2550,7973
1,81445,81445,3628,262144,1412,1662,2323,2696,8093
1,81319,81319,3763,262144,1715,1768,2284,2736,8503
1,80886,80886,3653,262144,1413,1663,2322,2726,8124
1,80326,80326,3660,262144,1825,1766,2388,2719,8698
1,79144,79144,3875,262144,1480,1854,2259,2619,8212
1,78348,78348,3960,262144,1415,1688,2297,2876,8276
1,77430,77430,4048,262144,1449,1683,2295,2677,8104
1,76697,76697,4151,262144,1608,1762,2304,2505,8179
1,75873,75873,4226,262144,1362,1726,2296,2482,7866
1,74753,74753,4183,524288,1304,1694,2300,3121,8419
1,73376,73376,4522,262144,1719,1686,2307,2335,8047
1,71237,71237,4230,262144,1271,1673,2284,2360,7588
1,68730,68730,4138,524288,1314,1700,2300,3287,8601
1,66282,66282,3989,524288,1726,1691,2353,3322,9092
1,64333,64333,4231,524288,1960,1736,2388,3369,9453
1,62611,62611,4433,524288,1749,1733,2345,3700,9527
1,84588,84588,4596,524288,2068,1705,2333,3123,9229
1,83977,83977,4642,524288,1735,1683,2349,3227,8994
1,83866,83866,4335,524288,1839,1713,2353,3181,9086
1,83219,83219,4745,524288,3154,1905,2313,3376,10748
1,54789,54789,4896,524288,1715,1672,2474,3364,9225
1,81687,81687,8953,1048576,1755,1741,2318,6181,11995
1,82311,82311,8645,1048576,5120,2039,2432,6033,15624
1,80523,80523,8137,1048576,4453,1973,2379,6947,15752
1,78973,78973,8208,1048576,5567,1894,2284,5411,15156
1,77347,77347,7565,1048576,2622,1958,2266,5460,12306
1,74819,74819,7534,1048576,2651,1995,2250,5576,12472
1,71920,71920,7246,1048576,2631,1994,2245,5469,12339
1,68174,68174,6874,1048576,2662,1935,2236,5832,12665
1,64449,64449,6979,1048576,3006,2001,2249,5960,13216
1,60739,60739,6768,1048576,2766,1940,2247,5234,12187
1,56506,56506,6716,1048576,2663,2009,2186,5261,12119
1,52502,52502,6231,524288,2651,1940,2210,3724,10525
1,42283,42283,4689,524288,1719,1678,2207,3391,8995
1,41758,41758,4743,524288,1867,1744,2208,3427,9246
1,89219,89219,8907,262144,1778,1680,2172,2417,8047
1,95857,95857,8619,262144,1289,1769,2174,2305,7537
1,101441,101441,9803,262144,1281,1718,2161,2883,8043
1,106976,106976,9926,262144,2379,2299,2182,2473,9333
1,111263,111263,10071,262144,1301,1664,2153,2586,7704
1,115059,115059,8989,262144,1241,1694,2146,2346,7427
1,117304,117304,8901,262144,1449,1679,2142,2249,7519
1,118978,118978,8911,262144,1272,1667,2140,2283,7362
1,117567,117567,8500,262144,1515,1718,2217,2508,7958
1,112096,112096,7498,262144,1262,1659,2133,2238,7292
1,104299,104299,6894,262144,1500,1662,2218,2139,7519
1,96133,96133,10530,524288,1268,1676,2201,4048,9193
1,87688,87688,8710,524288,1829,1733,2176,3816,9554
1,55934,55934,3818,262144,2703,2043,2213,2439,9398
1,67499,67499,3908,262144,2745,1963,2252,2896,9856
1,78674,78674,4259,262144,1898,1765,2260,2814,8737
1,88544,88544,4365,524288,1987,2000,2232,3704,9923
1,96785,96785,4401,524288,2421,1840,2582,4105,10948
1,104085,104085,4548,524288,3194,1871,2186,3486,10737
1,111062,111062,4463,524288,1834,1702,2198,3367,9101
1,117596,117596,4550,524288,1796,1762,2205,4689,10452
1,123697,123697,4539,524288,2509,1949,2271,3680,10409
1,126723,126723,6274,524288,1720,1700,2337,3325,9082
1,130341,130341,4940,524288,2060,1713,2267,3726,9766
1,132493,132493,4944,524288,3134,1859,2292,3228,10513
1,135367,135367,4896,524288,2364,2071,2259,3372,10066
1,137217,137217,5191,524288,2010,1789,2248,3506,9553
1,139571,139571,4913,524288,1712,1735,2301,4728,10476
1,141990,141990,4744,524288,2179,1988,2278,3340,9785
1,144380,144380,4609,524288,1901,1853,2210,3422,9386
1,146193,146193,4955,524288,1890,1841,2288,3564,9583
1,147797,147797,4604,524288,1733,1680,2334,3452,9199
1,150557,150557,4903,524288,2316,1770,2248,4260,10594
1,155141,155141,5026,524288,1748,1678,2345,3626,9397
1,161268,161268,4811,524288,3057,1979,2517,4283,11836
