NormalX,NormalY,NormalZ
-0.0182137,-0.959049,-0.282654
-0.0039173,0.00544306,-0.999978
-0.00747567,-0.829588,-0.558325
-0.00712626,-0.826151,-0.563403
-0.00635405,-0.825749,-0.564002
