NumPlanes,FilterMode,NormalMode,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
3,0,1,104238,53605,25566,480597,4963,2117,2079,8295,17454
3,0,1,103134,53258,25159,480597,3705,2123,2084,8980,16892
3,0,1,104238,53605,25566,480597,5444,2017,2047,11678,21186
3,0,1,103134,53258,25159,480597,3728,1861,2059,11251,18899
3,0,1,104239,53605,25559,480597,4709,1992,2104,11446,20251
3,0,1,103134,53258,25158,480597,3827,1891,2062,10844,18624
